pool_address,token_pair,timestamp,total_value_locked_usd,liquidity_change
0x3d3286f7cd19074f04e514b0c6c237e757513fb3,CRV/USDT,2025-08-13 17:24:07.158369,744134.9947622345,-0.03604620714748561
0x5f9c4ab08cac7457e9111a30e4664920607ea2c1,CHEX/WETH,2025-08-13 17:30:54.223631,893257.772027797,-0.7312312721258918
0x7902699be42c8a8e46fbbb4501726517e86b22c5,WETH/SOLX,2025-08-13 17:23:54.460573,240334.2844568322,0.006124506293861298
0xb8aed072d29403ece56ae9641638ddd50d420f95,SD/USDC,2025-08-13 17:30:34.916795,549492.0657971845,0.008926568387590872
0x968076be2e38cf897d4d6cea3faca9c037e1a4e3,USDC/SWEAT,2025-08-13 17:33:12.896231,761219.2934584696,-0.007738560184649745
0x7f2253d7e228b22a08bda1f09c516f6fead81df6,WETH/BERRY,2025-08-13 17:24:38.945240,957640.9414847133,-0.04072541566198521
0xc2356069e9d1e79ca924378153cfbbfb4d4416b1,CPOOL/WETH,2025-08-13 17:27:05.465154,350516.16525418137,-0.045654955707690285
0x2ac878b0e2180616993b4b6aa71e61166fdc86c2,ANFD/WETH,2025-08-13 17:29:13.084226,973384.6063395769,0.005204063127322703
0xfa2b7af0a811b9acde602aacb78e3638e8506dfe,DEXTF/WETH,2025-08-13 17:30:19.620656,886597.2304574387,-0.03077114097433401
0x4523540f1504cd17100c4835e85b7eefd4991158,LINK/WETH,2025-08-13 17:23:19.993556,235619.2928950314,-0.04202080230763725
0x3e1e967e9b793e908f8eae83c74dba9bcccce6a5,APU/WETH,2025-08-13 17:33:10.868240,386324.9627887745,0.03341104266407503
0x3d914f9348c9cc0ff8a79716700b9fcd4d2f3e71,WETH/CRV,2025-08-13 17:27:13.530296,217411.96046377282,0.0436654587712494
0xbc52dd634277c4a34a2d6210994a9a5e2ab6d33b,XSWAP/USDC,2025-08-13 17:23:38.409807,638628.5053150896,-0.02551890748485738
0x85daaf6f7055cd5736287faed9603d712920092c,USDM/USDT,2025-08-13 17:27:20.207918,989628.1171302292,0.0056949743774646205
0xdac53c17c250fd4d4d81eaf6d88435676dac1f3f,PYUSD/USDT,2025-08-13 17:26:40.483569,770630.4418164485,-0.5712789623972767
0x5cf4e26bd3d87da5e03f80a43a64f1220a1f4ba9,SHIB/USDC,2025-08-13 17:26:34.126195,275063.4672159457,0.04429097143350545
0x84a5092e4a5b6fe968fd523fb2fc917dbffae441,DRAGONX/WETH,2025-08-13 17:31:23.898275,220500.2786135992,0.03846831538867025
0x3f9807cb9ae9fb6c30942af6139909d27753a5e0,KARRAT/WETH,2025-08-13 17:28:17.373334,272231.36483307194,0.0061368134163150775
0x49d180ecf56132819571bf39d9b7b342522a2ac6,ATH/WETH,2025-08-13 17:31:44.849944,434149.48902163387,-0.013800355628638905
0x9f14025af0065b30e47e23ebb3b491d39ae8ed17,PLUME/USDC,2025-08-13 17:28:53.858931,100000.31805205595,-0.8561403478597364
0xa512db2741cd20693e4b16f19891e72b9ff12cea,BLSH/WETH,2025-08-13 17:24:42.187041,683676.4013613638,-0.01152326883254999
0x043066daf2109523a7490d4bfad4766da5719950,EMP/WETH,2025-08-13 17:34:44.207394,533823.2016481457,0.036077970223449815
0xd4735e3a265e16eee03f59718b9b5d03019c07d8,IN/WETH,2025-08-13 17:30:56.804055,123406.22555384978,0.025087779959160977
0xb4bbe448fde336bb6a7d7d765f36d3327c772b84,MATIC/WETH,2025-08-13 17:30:28.492495,120436.65185991768,-0.004627629367079354
0x52f11620e397f867b7d9f19e48caeb64658356a6,BTC2x-FLI/WBTC,2025-08-13 17:33:17.614117,270755.1602435799,-0.03213481194698686
0x670671cd97404156226e507973f2ab8330d3022c,WETH/RPL,2025-08-13 17:33:13.773370,305460.34353414655,0.010897021143817229
0x0b918943df0962bc7a1824c0555a389347b4febd,WETH/GALA,2025-08-13 17:27:16.217974,169933.54539562186,0.04224340806182747
0x5feceb66ffc86f38d952786c6d696c79c2dbc239,MORPHO/WETH,2025-08-13 17:29:58.240101,493719.6509486584,-0.013701923281906649
0xfa2b7af0a811b9acde602aacb78e3638e8506dfe,DEXTF/WETH,2025-08-13 17:32:27.877859,247057.78723467822,0.0067356943688910015
0xf5ca38f748a1d6eaf726b8a42fb575c3c71f1864,PEAS/WETH,2025-08-13 17:23:48.670485,491130.55868344766,-0.5957591338971073
0xb4bbe448fde336bb6a7d7d765f36d3327c772b84,MATIC/WETH,2025-08-13 17:24:17.547568,663153.3145198937,-0.03348730410258724
0x13671077b66a29874a2578b5240319092ef2a104,wNXM/WETH,2025-08-13 17:33:15.151790,428906.560798878,0.003929608877945835
0x2811745d7b8d8874f6e653d176cefdd19e05e920,SKL/WETH,2025-08-13 17:31:03.704695,715819.4830909306,0.017168695963828307
0xad48ff99415b2f007dc35b7eb553fd1eb35ebfa2,DOGEVERSE/WETH,2025-08-13 17:28:02.432060,522400.08262523473,-0.027530266296844266
0x434c9b5ae514646bbd91b50032ca579efec8f22b,OBOL/WETH,2025-08-13 17:23:02.144667,558382.307200235,-0.04928091610149065
0x580811fa95269f3ecd4f22d176e079d360935736,ACX/WETH,2025-08-13 17:30:21.394129,236652.36597304282,0.03596354002537465
0x4ec9599fc203d176a301536c2e091a19bc852759,WETH/OMI,2025-08-13 17:28:57.192406,285692.4913249015,0.003923393139475463
0x61a229bae1e90331edd986b6bbbe617f7035de88,ROUTE/WETH,2025-08-13 17:34:00.570253,575332.6623920316,0.028461942429075335
0x5cf4e26bd3d87da5e03f80a43a64f1220a1f4ba9,SHIB/USDC,2025-08-13 17:27:40.083172,103382.5385269634,-0.01457024334104462
0x1253e9373e781b7500266caa55150e08e210bc8c,SUPERGROK/WETH,2025-08-13 17:28:23.257761,731785.0909652521,0.04841652113659661
0xb7a56873cd771f2c446d369b649430b65a756ba2,CPOOL/USDC,2025-08-13 17:23:30.641125,730931.4525567709,-0.0390730967755196
0x0e17daca5f3e175f448bacace3bc0da47d0655a7,SHFL/USDC,2025-08-13 17:25:03.950414,454127.41235480056,-0.022145485533305954
0xda4ea2a5506f2693eae190d9360a1f31793c98a1,USD1/WETH,2025-08-13 17:33:16.629887,84631.03949054646,0.035596689246837274
0xb7a56873cd771f2c446d369b649430b65a756ba2,CPOOL/USDC,2025-08-13 17:23:23.423597,999289.6437285993,0.04689962572847513
0xeb3be230bbd2844b1f5d8f2e4fab9ffba8ab22cf,MOVE/WETH,2025-08-13 17:32:58.060929,174647.99949787487,-0.028625270080081835
0x37834f2f25762f23e1f74a531cbe445db73d6765,basedAI/WETH,2025-08-13 17:33:36.758863,172990.75018751158,-0.7438312969648747
0x27badc983df1780b60c2b3fa9d3a19a00e46aac7,ANKR/WETH,2025-08-13 17:32:12.293137,292396.7366574511,0.0230505317415466
0x27badc983df1780b60c2b3fa9d3a19a00e46aac7,ANKR/WETH,2025-08-13 17:29:27.153193,721224.1925433627,-0.02032921745054358
0x8527a891e224136950ff32ca212b45bc93f69fbb,WETH/Block,2025-08-13 17:29:44.009809,546773.2493605315,-0.044283472709251696
0x05ada863a4cf9660fd8c68e2295f1d35b2264815,CULT/WETH,2025-08-13 17:28:30.287732,920193.2595237545,-0.04431204202713155
0x38d66d9692ac590000a91b03a88da1c88d51fab2,BOOE/HOPE,2025-08-13 17:23:44.680255,193966.711370916,0.01752125536040902
0x39fa9ec190eee7b6f4dff1100d6343e10918d044,DOK/WETH,2025-08-13 17:27:37.718397,942180.1659567985,0.00789190575072106
0x4a44dc15364204a80fe80e9039455cc160828182,USDC/WETH,2025-08-13 17:30:12.954687,425032.66618251376,0.0022782715531958903
0x3ada92f28b4ceda38562ebf047c6ff05400d4c57,WETH/ANYONE,2025-08-13 17:25:14.066624,719029.8827815206,-0.010421415320874552
0x284de502c9847342318c17d474733ef468fbdbe2,HOPPY/WETH,2025-08-13 17:30:31.760568,462652.32684474747,0.043573428744482334
0xd4735e3a265e16eee03f59718b9b5d03019c07d8,IN/WETH,2025-08-13 17:28:16.965576,998469.8964458979,-0.042673927890036704
0x2fca346db656187102ce806ac732e06a62df0dbb,WETH/PLU,2025-08-13 17:28:51.236980,141132.00466280262,-0.04312086859399808
0x81b8a03f97e8787c53fe1a86bda042b6f0de9b0e,WETH/EUL,2025-08-13 17:27:13.059504,166169.36403365966,0.020353992508737095
0x0fecf9247f3ddc84db8a804fa3065c013baf6b7c,NXRA/WETH,2025-08-13 17:34:35.374383,809028.943832491,0.01678632037125835
0x2c7d5490e6050836f8f2f0d496b1c8d6a38d4ffa,PRO/WETH,2025-08-13 17:26:22.552702,666754.8278164165,-0.036570888560663234
0x35135aaa6cc23891b40cb3f378c53a17a1127210,aEthWETH/WETH,2025-08-13 17:33:27.593149,744992.5171411887,-0.021824372854210572
0x2858dcd1057d3eae7f7d5f782167e24b61153c01,LDO/WETH,2025-08-13 17:31:23.680775,211561.3392041784,-0.02360160983695906
0x0f8ef3377b30fc47f96b48247f463a726a802f62,WPLS/WETH,2025-08-13 17:25:47.807301,909077.4557563862,-0.6462862210763223
0xfa2b7af0a811b9acde602aacb78e3638e8506dfe,DEXTF/WETH,2025-08-13 17:26:06.209761,13510.232196904477,0.013711337730137968
0x49d180ecf56132819571bf39d9b7b342522a2ac6,ATH/WETH,2025-08-13 17:24:43.339023,447417.15674224205,0.006090686477474641
0x59e19706d51d39f66711c2653cd7eb1291c94d9b,TRX/WETH,2025-08-13 17:23:41.175579,884275.3293671415,0.004559028920552231
